MKey,NTSBNumber,Report,EventDate,City,StateOrRegion,Country,Latitude,Longitude,FatalInjuries,SeriousInjuries,InjuryLevel,InjuryCategory,IsFatal
82607,CEN12LA120,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82607/pdf,1/1/2012,Lohn,Texas,United States,31.325,-99.408332,0,2,Non-Fatal,non-fatal,False
82616,CEN12TA122,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82616/pdf,1/3/2012,Conroe,Texas,United States,30.30861,-95.449996,0,0,Non-Fatal,non-fatal,False
82621,CEN12LA124,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82621/pdf,1/3/2012,San Angelo,Texas,United States,31.280374,-100.410598,0,0,Non-Fatal,non-fatal,False
82857,CEN12FA152,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82857/pdf,2/8/2012,Frankston,Texas,United States,32.077499,-95.436943,1,0,Fatal,fatal,True
82862,CEN12FA154,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82862/pdf,2/10/2012,Floresville,Texas,United States,29.149999,-98.272781,1,0,Fatal,fatal,True
82896,CEN12FA164,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82896/pdf,2/20/2012,Albany,Texas,United States,32.808887,-99.323608,2,0,Fatal,fatal,True
82958,CEN12LA168,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82958/pdf,2/21/2012,Conroe,Texas,United States,30.3525,-95.414443,0,0,Non-Fatal,non-fatal,False
82963,CEN12LA169,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82963/pdf,2/23/2012,Cypress,Texas,United States,29.95977,-95.689437,0,1,Non-Fatal,non-fatal,False
82970,CEN12FA170,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82970/pdf,2/26/2012,San Antonio,Texas,United States,29.321111,-98.459724,2,0,Fatal,fatal,True
83067,CEN12LA181,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83067/pdf,3/5/2012,Staples,Texas,United States,29.821111,-97.863052,0,0,Non-Fatal,non-fatal,False
83157,CEN12LA189,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83157/pdf,3/18/2012,Arcola,Texas,United States,29.506111,-95.476943,0,0,Non-Fatal,non-fatal,False
83160,CEN12CA190,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83160/pdf,3/17/2012,Fort Worth,Texas,United States,32.93111,-97.411666,0,0,Non-Fatal,non-fatal,False
83168,CEN12LA192,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83168/pdf,1/28/2012,Seguin,Texas,United States,29.566667,-97.949996,0,0,Non-Fatal,non-fatal,False
83217,CEN12CA201,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83217/pdf,3/24/2012,McKinney,Texas,United States,33.177776,-96.590278,0,0,Non-Fatal,non-fatal,False
83219,CEN12CA202,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83219/pdf,3/24/2012,Casterville,Texas,United States,29.340509,-98.870063,0,0,Non-Fatal,non-fatal,False
83220,CEN12LA203,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83220/pdf,3/24/2012,Granite Shoals,Texas,United States,30.593055,-98.394165,1,1,Fatal,fatal,True
83221,CEN12LA204,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83221/pdf,3/2/2012,Roanoke,Texas,United States,33.04972,-97.232223,0,0,Non-Fatal,non-fatal,False
83251,CEN12LA214,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83251/pdf,3/29/2012,Midlothian,Texas,United States,32.458332,-96.912498,0,0,Non-Fatal,non-fatal,False
83256,CEN12LA216,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83256/pdf,3/30/2012,Arcola,Texas,United States,29.506111,-95.476943,0,0,Non-Fatal,non-fatal,False
83278,CEN12LA220,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83278/pdf,3/23/2012,Addison,Texas,United States,32.968612,-96.836387,0,0,Non-Fatal,non-fatal,False
83279,CEN12CA221,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83279/pdf,4/2/2012,Ganado,Texas,United States,28.9825,-96.412223,0,0,Non-Fatal,non-fatal,False
83297,CEN12CA226,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83297/pdf,3/31/2012,Anahuac,Texas,United States,29.771667,-94.66333,0,0,Non-Fatal,non-fatal,False
83298,CEN12LA227,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83298/pdf,4/4/2012,Breckenridge,Texas,United States,32.718887,-98.89167,1,0,Fatal,fatal,True
83305,CEN12LA228,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83305/pdf,4/3/2012,Corpus Christi,Texas,United States,27.770277,-97.501113,0,0,Non-Fatal,non-fatal,False
83306,CEN12LA229,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83306/pdf,4/3/2012,San Marcos,Texas,United States,29.892778,-97.863052,0,0,Non-Fatal,non-fatal,False
83426,CEN12FA249,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83426/pdf,4/17/2012,San Angelo,Texas,United States,31.358333,-100.612777,0,0,Non-Fatal,non-fatal,False
83460,CEN12LA253,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83460/pdf,4/22/2012,Pearland,Texas,United States,29.52111,-95.241943,0,1,Non-Fatal,non-fatal,False
83469,CEN12LA254,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83469/pdf,4/22/2012,New Braunfels,Texas,United States,29.704444,-98.042221,0,0,Non-Fatal,non-fatal,False
83470,CEN12LA255,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83470/pdf,4/22/2012,Wildorado,Texas,United States,35.150051,-102.220039,0,0,Non-Fatal,non-fatal,False
83485,CEN12LA257,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83485/pdf,4/23/2012,Laneville,Texas,United States,31.936111,-94.837776,0,0,Non-Fatal,non-fatal,False
83488,CEN12LA258,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83488/pdf,4/26/2012,Amarillo,Texas,United States,35.218055,-101.703613,0,0,Non-Fatal,non-fatal,False
83489,CEN12LA260,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83489/pdf,4/25/2012,Bryan,Texas,United States,30.554166,-96.438331,0,0,Non-Fatal,non-fatal,False
83567,CEN12CA277,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83567/pdf,5/1/2012,San Antonio,Texas,United States,29.336944,-98.471107,0,0,Non-Fatal,non-fatal,False
83581,CEN12CA281,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83581/pdf,5/5/2012,Houston,Texas,United States,29.817499,-95.67028,0,0,Non-Fatal,non-fatal,False
83596,CEN12CA286,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83596/pdf,5/9/2012,Cleburne,Texas,United States,32.353889,-97.433891,0,0,Non-Fatal,non-fatal,False
83625,CEN12CA292,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83625/pdf,5/12/2012,Pecos,Texas,United States,31.382223,-103.510559,0,0,Non-Fatal,non-fatal,False
83646,CEN12LA300,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83646/pdf,5/9/2012,Midland,Texas,United States,31.938888,-102.20111,0,0,Non-Fatal,non-fatal,False
83649,CEN12CA301,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83649/pdf,5/7/2012,El Campo,Texas,United States,29.270833,-96.326385,0,0,Non-Fatal,non-fatal,False
83658,CEN12CA303,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83658/pdf,5/12/2012,Houston,Texas,United States,29.506111,-95.476669,0,0,Non-Fatal,non-fatal,False
83719,CEN12FA311,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83719/pdf,5/20/2012,Boyd,Texas,United States,33.022499,-97.636665,1,3,Fatal,fatal,True
83793,CEN12CA328,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83793/pdf,5/17/2012,Pipe Creek,Texas,United States,29.713888,-98.86,0,0,Non-Fatal,non-fatal,False
83868,CEN12CA341,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83868/pdf,6/4/2012,Houston,Texas,United States,29.935556,-95.639442,0,0,Non-Fatal,non-fatal,False
83979,CEN12CA372,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83979/pdf,6/14/2012,Alpine,Texas,United States,30.383888,-103.683334,0,0,Non-Fatal,non-fatal,False
83980,CEN12LA371,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/83980/pdf,6/9/2012,San Antonio,Texas,United States,29.510278,-98.798332,0,0,Non-Fatal,non-fatal,False
84014,CEN12FA378,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84014/pdf,6/17/2012,Wallis,Texas,United States,29.600555,-96.02333,3,0,Fatal,fatal,True
84035,CEN12LA384,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84035/pdf,6/15/2012,Lake Dallas,Texas,United States,33.125556,-97.008613,0,0,Non-Fatal,non-fatal,False
84094,CEN12CA394,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84094/pdf,6/26/2012,Fredricksburg,Texas,United States,30.243055,-98.909164,0,0,Non-Fatal,non-fatal,False
84219,CEN12FA421,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84219/pdf,7/7/2012,Karnack,Texas,United States,32.661945,-94.219718,1,0,Fatal,fatal,True
84236,CEN12FA425,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84236/pdf,7/5/2012,Mesquite,Texas,United States,32.74139,-96.524719,0,0,Non-Fatal,non-fatal,False
84276,CEN12CA431,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84276/pdf,7/6/2012,Denton,Texas,United States,33.201946,-97.197776,0,0,Non-Fatal,non-fatal,False
84414,CEN12LA467,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84414/pdf,7/21/2012,Miami,Texas,United States,35.761112,-100.751945,0,1,Non-Fatal,non-fatal,False
84431,CEN12CA474,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84431/pdf,7/24/2012,Houston,Texas,United States,29.707777,-95.390556,0,0,Non-Fatal,non-fatal,False
84447,CEN12LA477,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84447/pdf,7/22/2012,Leander,Texas,United States,30.599445,-97.823608,0,0,Non-Fatal,non-fatal,False
84467,CEN12CA482,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84467/pdf,7/25/2012,Weatherford,Texas,United States,32.741111,-97.676109,0,0,Non-Fatal,non-fatal,False
84539,CEN12LA501,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84539/pdf,8/1/2012,Holly Lake Ranch,Texas,United States,32.697498,-95.207778,0,1,Non-Fatal,non-fatal,False
84570,CEN12LA515,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84570/pdf,8/2/2012,Houston,Texas,United States,29.829641,-95.659408,0,0,Non-Fatal,non-fatal,False
84580,CEN12FA520,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84580/pdf,8/4/2012,Fate,Texas,United States,32.916667,-96.383331,0,0,Non-Fatal,non-fatal,False
84593,CEN12LA524,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84593/pdf,8/7/2012,Carthage,Texas,United States,32.176109,-94.298614,0,0,Non-Fatal,non-fatal,False
84595,CEN12LA525,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84595/pdf,8/7/2012,Avalon,Texas,United States,32.273887,-96.76583,0,0,Non-Fatal,non-fatal,False
84607,CEN12LA529,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84607/pdf,8/7/2012,Palo Pinto,Texas,United States,32.821109,-98.478614,0,0,Non-Fatal,non-fatal,False
84757,CEN12FA561,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84757/pdf,8/4/2012,San Saba,Texas,United States,31.234443,-98.716941,0,0,Non-Fatal,non-fatal,False
84768,CEN12LA566,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84768/pdf,8/21/2012,Gilmer,Texas,United States,32.697776,-94.948608,0,2,Non-Fatal,non-fatal,False
84775,CEN12CA568,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84775/pdf,8/17/2012,Bogata,Texas,United States,33.470554,-95.213607,0,0,Non-Fatal,non-fatal,False
84787,CEN12FA570,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84787/pdf,8/25/2012,Llano,Texas,United States,30.749486,-98.669937,2,0,Fatal,fatal,True
84855,CEN12LA589,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84855/pdf,8/29/2012,Ralls,Texas,United States,33.607776,-101.323608,0,0,Non-Fatal,non-fatal,False
84900,CEN12CA595,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84900/pdf,8/24/2012,Comfort,Texas,United States,29.928888,-98.940277,0,0,Non-Fatal,non-fatal,False
84928,CEN12LA605,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84928/pdf,9/1/2012,El Paso,Texas,United States,31.71861,-106.235275,1,0,Fatal,fatal,True
84930,CEN12FA606,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84930/pdf,9/5/2012,Fort Worth,Texas,United States,32.558887,-97.304725,0,2,Non-Fatal,non-fatal,False
84940,CEN12CA608,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84940/pdf,9/3/2012,Navasota,Texas,United States,30.269721,-95.967224,0,0,Non-Fatal,non-fatal,False
84943,CEN12LA609,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84943/pdf,9/5/2012,Hamilton,Texas,United States,31.665832,-98.148612,0,0,Non-Fatal,non-fatal,False
84960,CEN12CA612,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84960/pdf,9/6/2012,Decatur,Texas,United States,33.254165,-97.580276,0,0,Non-Fatal,non-fatal,False
84965,CEN12CA614,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84965/pdf,9/1/2012,Lancaster,Texas,United States,32.577499,-96.717498,0,0,Non-Fatal,non-fatal,False
84972,CEN12FA616,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84972/pdf,9/8/2012,Kingsland,Texas,United States,30.68361,-98.419441,1,0,Fatal,fatal,True
84979,CEN12CA618,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84979/pdf,9/8/2012,Decatur,Texas,United States,33.254165,-97.580558,0,0,Non-Fatal,non-fatal,False
84993,CEN12FA621,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/84993/pdf,9/10/2012,Houston,Texas,United States,29.784721,-94.951385,2,0,Fatal,fatal,True
85008,CEN12LA623,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85008/pdf,9/9/2012,Gilmer,Texas,United States,32.697776,-94.948608,0,0,Non-Fatal,non-fatal,False
85019,CEN12FA628,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85019/pdf,9/12/2012,Bullard,Texas,United States,32.1375,-95.432777,1,0,Fatal,fatal,True
85025,CEN12CA631,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85025/pdf,8/27/2012,Luling,Texas,United States,29.728055,-97.659164,0,0,Non-Fatal,non-fatal,False
85079,CEN12CA643,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85079/pdf,9/18/2012,Slaton,Texas,United States,33.485279,-101.661666,0,0,Non-Fatal,non-fatal,False
85089,CEN12CA644,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85089/pdf,9/11/2012,Kenedy,Texas,United States,28.824722,-97.865554,0,0,Non-Fatal,non-fatal,False
85099,CEN12CA647,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85099/pdf,9/16/2012,Fort Worth,Texas,United States,32.93111,-97.411666,0,0,Non-Fatal,non-fatal,False
85106,CEN12LA650,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85106/pdf,9/19/2012,Rio Vista,Texas,United States,32.230785,-97.370635,0,0,Non-Fatal,non-fatal,False
85118,CEN12FA654,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85118/pdf,9/22/2012,Roanoke,Texas,United States,33.050556,-97.231941,2,0,Fatal,fatal,True
85220,CEN12LA669,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85220/pdf,9/30/2012,Nocona,Texas,United States,33.881668,-97.652221,0,0,Non-Fatal,non-fatal,False
85269,CEN13FA006,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85269/pdf,10/6/2012,Mabank,Texas,United States,32.4775,-96.065002,4,0,Fatal,fatal,True
85313,CEN13FA010,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85313/pdf,10/11/2012,Blanco,Texas,United States,30.051944,-98.606666,3,0,Fatal,fatal,True
85329,CEN12LA672,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85329/pdf,9/7/2012,Horseshoe Bay,Texas,United States,31.627222,-98.358612,0,0,Non-Fatal,non-fatal,False
85330,CEN13LA011,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85330/pdf,10/11/2012,Roanoke,Texas,United States,33.036109,-97.231666,0,0,Non-Fatal,non-fatal,False
85384,CEN13CA017,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85384/pdf,10/20/2012,Bourland,Texas,United States,32.581943,-97.590835,0,1,Non-Fatal,non-fatal,False
85394,CEN13CA022,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85394/pdf,10/21/2012,Loop,Texas,United States,32.859165,-102.289169,0,0,Non-Fatal,non-fatal,False
85461,CEN13LA034,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85461/pdf,10/28/2012,Mont Belvieu,Texas,United States,29.759145,-94.870796,2,0,Fatal,fatal,True
85479,CEN13CA037,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85479/pdf,10/27/2012,Reklaw,Texas,United States,31.839721,-94.961112,0,0,Non-Fatal,non-fatal,False
85483,CEN13FA039,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85483/pdf,11/1/2012,San Marcos,Texas,United States,29.879444,-97.883056,1,0,Fatal,fatal,True
85493,CEN13CA040,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85493/pdf,11/2/2012,McKinney,Texas,United States,33.176944,-96.58889,0,0,Non-Fatal,non-fatal,False
85494,CEN13LA041,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85494/pdf,11/3/2012,Roanoke,Texas,United States,33.04972,-97.232223,0,0,Non-Fatal,non-fatal,False
85519,CEN13LA046,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85519/pdf,11/5/2012,Groesbeck,Texas,United States,31.427778,-96.470832,1,0,Fatal,fatal,True
85532,CEN13CA053,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85532/pdf,11/6/2012,Bryan,Texas,United States,30.715555,-96.333335,0,0,Non-Fatal,non-fatal,False
85551,CEN13LA056,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85551/pdf,11/9/2012,La Grange,Texas,United States,29.928333,-96.946388,0,0,Non-Fatal,non-fatal,False
85590,CEN13LA057,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85590/pdf,11/12/2012,San Antonio,Texas,United States,29.532777,-98.463607,0,0,Non-Fatal,non-fatal,False
85624,CEN13LA062,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85624/pdf,11/18/2012,Jacksonville,Texas,United States,31.869443,-95.217498,1,0,Fatal,fatal,True
85648,CEN13LA068,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85648/pdf,11/20/2012,San Antonio,Texas,United States,29.284721,-98.498054,0,0,Non-Fatal,non-fatal,False
85671,CEN13FA073,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85671/pdf,11/26/2012,Wells,Texas,United States,31.470556,-94.940551,1,0,Fatal,fatal,True
85681,CEN13FA075,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85681/pdf,11/27/2012,Childress,Texas,United States,34.420276,-100.240997,1,1,Fatal,fatal,True
85741,CEN13CA090,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85741/pdf,12/1/2012,McKinney,Texas,United States,33.176944,-96.588607,0,0,Non-Fatal,non-fatal,False
85790,CEN13LA097,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85790/pdf,12/8/2012,Moody,Texas,United States,31.190555,-97.407218,0,0,Non-Fatal,non-fatal,False
85796,CEN13LA099,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85796/pdf,12/7/2012,Abilene,Texas,United States,32.411388,-99.681945,0,0,Non-Fatal,non-fatal,False
85804,CEN13FA100,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85804/pdf,12/13/2012,Combine,Texas,United States,32.510276,-96.503051,2,0,Fatal,fatal,True
85817,CEN13LA104,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85817/pdf,12/7/2012,Arcola,Texas,United States,29.369091,-95.450271,0,0,Non-Fatal,non-fatal,False
85824,CEN13FA105,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85824/pdf,12/14/2012,Amarillo,Texas,United States,34.949165,-101.580833,2,0,Fatal,fatal,True
85826,CEN13CA106,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85826/pdf,12/15/2012,Bellview,Texas,United States,29.940834,-96.245002,0,0,Non-Fatal,non-fatal,False
85887,CEN13LA111,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85887/pdf,12/19/2012,Graham,Texas,United States,33.112499,-98.533889,0,0,Non-Fatal,non-fatal,False
85892,CEN13CA114,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85892/pdf,12/24/2012,McAllen,Texas,United States,26.186388,-98.2275,0,0,Non-Fatal,non-fatal,False
85907,CEN13LA116,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85907/pdf,12/24/2012,San Antonio,Texas,United States,29.570278,-98.46833,0,1,Non-Fatal,non-fatal,False
85916,CEN13LA118,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85916/pdf,12/31/2012,Mc Allen,Texas,United States,26.172222,-98.236389,0,0,Non-Fatal,non-fatal,False
85955,CEN13CA124,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/85955/pdf,1/2/2013,Menard,Texas,United States,30.932222,-99.809165,0,0,Non-Fatal,non-fatal,False
86006,CEN13FA131,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86006/pdf,1/12/2013,Paris,Texas,United States,33.662498,-95.547775,3,0,Fatal,fatal,True
86074,CEN13LA141,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86074/pdf,1/23/2013,McKinney,Texas,United States,33.177776,-96.58889,0,0,Non-Fatal,non-fatal,False
86110,CEN13LA147,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86110/pdf,1/28/2013,Gainsville,Texas,United States,33.651668,-97.197219,0,0,Non-Fatal,non-fatal,False
86129,CEN13LA148,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86129/pdf,2/1/2013,Gillett,Texas,United States,29.13611,-97.66278,0,2,Non-Fatal,non-fatal,False
86138,CEN13LA149,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86138/pdf,2/1/2013,College Station,Texas,United States,30.556388,-96.572776,0,0,Non-Fatal,non-fatal,False
86148,CEN13LA152,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86148/pdf,1/31/2013,Victoria,Texas,United States,28.75361,-96.984169,0,0,Non-Fatal,non-fatal,False
86191,CEN13LA157,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86191/pdf,2/8/2013,Garden City,Texas,United States,31.587499,-101.509162,0,0,Non-Fatal,non-fatal,False
86224,CEN13CA162,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86224/pdf,2/14/2013,Abilene,Texas,United States,32.508609,-99.607223,0,0,Non-Fatal,non-fatal,False
86253,CEN13TA165,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86253/pdf,2/14/2013,Pine Springs,Texas,United States,31.054456,-97.562797,0,0,Non-Fatal,non-fatal,False
86266,CEN13LA170,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86266/pdf,2/16/2013,Austin,Texas,United States,30.397499,-97.56639,0,0,Non-Fatal,non-fatal,False
86350,CEN13LA186,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86350/pdf,3/4/2013,Terrell,Texas,United States,32.68861,-96.310279,1,0,Fatal,fatal,True
86429,CEN13LA193,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86429/pdf,3/13/2013,Seguin,Texas,United States,29.570278,-97.966941,0,0,Non-Fatal,non-fatal,False
